round,loss,accuracy,time
0,177.6572299003601,0.099,0
0,205.87621784210205,0.103,48.49096525274217
0,229.26969480514526,0.093,108.70583887957036
0,235.12182426452637,0.093,169.4079335797578
1,187.6429204940796,0.103,235.31780509091914
1,77.50149416923523,0.089,245.8940709233284
1,357.21796131134033,0.195,302.312173794955
1,247.25759172439575,0.093,366.01842284947634
2,190.89534378051758,0.178,441.67912595905364
2,355.7377529144287,0.196,501.12873117253184
2,300.8067774772644,0.251,608.5977948643267
3,155.6220679283142,0.199,645.4678563065827
3,301.0895013809204,0.25,704.7813548929989
3,304.72017097473145,0.254,800.0759112089872
4,175.37680339813232,0.2,851.7940222509205
4,348.796950340271,0.197,911.4120658244938
4,308.22123193740845,0.253,978.2844906877726
5,177.13575315475464,0.212,1051.7721432801336
5,363.8712501525879,0.179,1110.333094542846
5,202.05990934371948,0.204,1235.4835366234183
6,181.82076358795166,0.228,1253.4898984674364
6,304.9866232872009,0.257,1322.2992335166782
6,305.3102059364319,0.257,1419.391419928521
7,180.74874830245972,0.223,1454.8929102160037
7,258.63467597961426,0.133,1514.4229996521026
7,306.76015424728394,0.26,1600.3761530611664
8,190.13167762756348,0.224,1658.7733643110842
8,362.90951919555664,0.201,1742.9637142121792
8,327.0718078613281,0.21,1843.374510165304
9,186.54271793365479,0.228,1863.3646875228733
9,332.8940153121948,0.181,1923.0189798884094
9,309.76406955718994,0.254,2024.4836153760552
10,186.48227548599243,0.235,2070.590526212007
10,242.41764450073242,0.157,2131.146496735513
10,325.646276473999,0.182,2249.45812552236
11,187.81154823303223,0.235,2273.1644476559013
11,279.55018854141235,0.169,2333.1337567362934
11,330.52544927597046,0.185,2456.7804272864014
12,189.3470058441162,0.232,2477.4895804189146
12,294.51161766052246,0.186,2537.6205103565007
12,334.7871618270874,0.204,2651.1573921479285
13,190.13417100906372,0.233,2676.4880401305854
13,323.3590326309204,0.191,2734.821291530505
14,330.91268396377563,0.199,2867.152760077268
14,192.19316148757935,0.231,2883.388167275116
14,336.32852029800415,0.179,2942.9241351727396
14,185.53250932693481,0.194,3067.4686130601913
15,191.6908860206604,0.232,3087.7688163984567
15,416.549843788147,0.248,3172.1984166447073
15,197.55660438537598,0.196,3271.1726101338863
16,193.5250325202942,0.237,3291.376491315663
16,385.1762409210205,0.195,3351.3243469186127
16,206.8574924468994,0.188,3474.974501207471
17,192.78402948379517,0.237,3496.964445276186
17,377.2522439956665,0.201,3556.0318977050483
17,207.67789602279663,0.211,3679.466273523867
18,194.02135276794434,0.236,3699.991587286815
18,376.629581451416,0.187,3761.2286931313574
18,206.96841430664062,0.217,3879.6695926394314
19,194.9303002357483,0.238,3902.966968461871
19,371.21107387542725,0.196,3963.228287689388
19,208.2592134475708,0.222,4086.0616235602647
20,193.73067569732666,0.24,4103.886735536158
20,375.6953430175781,0.199,4163.528883321211
20,213.18272161483765,0.214,4283.879292540252
21,195.22448348999023,0.237,4305.667515430599
21,382.9422616958618,0.183,4364.640855262056
22,209.99292135238647,0.21,4494.4555146582425
22,194.7444977760315,0.239,4510.478639034554
22,371.1744747161865,0.199,4570.532437136397
22,188.0363073348999,0.176,4692.578655030578
23,195.50713968276978,0.238,4713.982557699084
23,367.4132537841797,0.192,4774.816013628617
23,201.6778588294983,0.208,4898.670696798712
24,195.4199275970459,0.238,4917.998814933002
24,371.54962635040283,0.192,4978.336805673316
24,208.65849113464355,0.215,5097.14932282269
25,196.1120867729187,0.24,5120.5678068473935
25,380.49963569641113,0.169,5180.7320263478905
25,215.11059522628784,0.191,5305.058592895046
26,196.17899894714355,0.237,5326.166797762737
26,377.7326307296753,0.186,5385.837308304384
26,213.61889219284058,0.226,5508.457172591239
27,195.81735277175903,0.24,5529.793412838131
27,380.6247901916504,0.185,5588.713291058317
27,213.83088064193726,0.221,5713.285370158032
